model,accuracy,macro_f1,cv_mean_acc,cv_std_acc
SVM_RBF,0.9911452184179457,0.9911150946955818,0.984660766961652,0.01045430392133885
kNN_k5,0.9828807556080283,0.9825309110532792,0.9811174530030895,0.008864093961222983
